session_id,agent_id,bead_id,dispatch_ts,reason
a1b6aa78-34bf-43da-925c-cb175d07fecb,a32d0a2392c87a695,hk-8mwo.1,2026-05-11T22:31:04.712000+00:00,no_commit_in_worktree
a1b6aa78-34bf-43da-925c-cb175d07fecb,a6d2840ba7d6a9a98,hk-8i31.37,2026-05-11T22:31:51.074000+00:00,no_commit_in_worktree
a1b6aa78-34bf-43da-925c-cb175d07fecb,affea3926245e5c2f,hk-hqwn.45,2026-05-12T16:16:44.691000+00:00,no_commit_in_worktree
672b6e9a-6012-4a18-9e03-318ffcb862fb,a5da90023f8a2085f,hk-zs0.8,2026-05-11T05:54:14.598000+00:00,no_commit_in_worktree
672b6e9a-6012-4a18-9e03-318ffcb862fb,a364906a2290f53b4,hk-zs0.25,2026-05-11T05:54:24.359000+00:00,no_commit_in_worktree
672b6e9a-6012-4a18-9e03-318ffcb862fb,af8870ef7169dd7b3,hk-sx9r.22,2026-05-11T05:55:16.555000+00:00,no_commit_in_worktree
672b6e9a-6012-4a18-9e03-318ffcb862fb,ae0dad684e4ca5440,hk-8mup.32,2026-05-11T05:58:30.067000+00:00,no_commit_in_worktree
672b6e9a-6012-4a18-9e03-318ffcb862fb,abf0a2bafb4f9b05a,hk-zs0.1,2026-05-11T05:59:33.353000+00:00,no_commit_in_worktree
672b6e9a-6012-4a18-9e03-318ffcb862fb,a4fde54f6453f66a3,hk-i0tw.25,2026-05-11T06:01:26.317000+00:00,no_commit_in_worktree
672b6e9a-6012-4a18-9e03-318ffcb862fb,adbb54a73a436fcf5,hk-i0tw.38,2026-05-11T06:01:39.850000+00:00,no_commit_in_worktree
d26d3203-e716-416b-9cfc-04233063f60c,a839d4567380cda92,hk-8i31.53,2026-05-10T04:43:38.995000+00:00,no_commit_in_worktree
d26d3203-e716-416b-9cfc-04233063f60c,aa21fcefab35ff769,hk-sx9r.2,2026-05-10T04:44:47.246000+00:00,no_commit_in_worktree
d26d3203-e716-416b-9cfc-04233063f60c,aa38b5954ee6beda0,hk-pvcs.11,2026-05-10T04:47:06.560000+00:00,no_commit_in_worktree
d26d3203-e716-416b-9cfc-04233063f60c,a6e3c6fe67403c1f4,hk-b3f.6,2026-05-10T05:01:33.064000+00:00,no_commit_in_worktree
d26d3203-e716-416b-9cfc-04233063f60c,a4760264bcfff6299,hk-b3f.52,2026-05-10T05:01:49.158000+00:00,no_commit_in_worktree
d26d3203-e716-416b-9cfc-04233063f60c,abfdab75690285324,hk-b3f.53,2026-05-10T05:01:54.528000+00:00,no_commit_in_worktree
d26d3203-e716-416b-9cfc-04233063f60c,a7dac2aeeeeadbcb4,hk-8i31.73,2026-05-10T05:02:00.714000+00:00,no_commit_in_worktree
d26d3203-e716-416b-9cfc-04233063f60c,a2fc34ff409b32f01,hk-8mwo.12,2026-05-10T05:02:05.836000+00:00,no_commit_in_worktree
d26d3203-e716-416b-9cfc-04233063f60c,a5060964b873b4bc7,hk-kle6.1,2026-05-10T05:02:12.640000+00:00,no_commit_in_worktree
6ebc3114-24b1-450c-8954-00e798fb3af3,a31a6c1895131b336,hk-b3f.40,2026-05-10T04:37:00.558000+00:00,no_commit_in_worktree
6ebc3114-24b1-450c-8954-00e798fb3af3,a6905fdd9de5d109f,hk-b3f.51,2026-05-10T04:37:05.037000+00:00,no_commit_in_worktree
e2aa5c5f-89bf-44a5-91a3-542fe22bcbc1,a4ffa0ccef81b8ca3,hk-63oh.48,2026-05-10T01:18:22.711000+00:00,no_commit_in_worktree
5962ce6b-11e6-4cba-97e5-b6a650b62b1b,a7b94ef7ef2727a27,hk-i0tw.42,2026-05-09T06:31:04.231000+00:00,no_commit_in_worktree
5962ce6b-11e6-4cba-97e5-b6a650b62b1b,a0004c7ae7afaf60c,hk-a8bg.90,2026-05-09T06:41:31.134000+00:00,no_commit_in_worktree
158168cb-7b1c-4013-a120-85f360c32be4,ae3984673982efdb4,hk-i0tw.44,2026-05-09T05:38:53.400000+00:00,no_commit_in_worktree
399cc9c8-94d6-4ff2-a6f6-160f9dee045e,a74c99ce08816aed0,hk-63oh.51,2026-05-09T04:31:01.995000+00:00,no_commit_in_worktree
399cc9c8-94d6-4ff2-a6f6-160f9dee045e,a987395ea0b5350d2,hk-i0tw.23,2026-05-09T04:31:17.379000+00:00,no_commit_in_worktree
ec22e68b-ed76-4532-ba7e-f0002e55af68,ab9ae80f4ad813e47,hk-872.37.4,2026-05-09T02:48:15.408000+00:00,no_commit_in_worktree
5256af68-89a2-4b0c-af61-fffc50527a56,aec1739ba1b6f0143,hk-b3f.37,2026-05-09T00:02:43.471000+00:00,no_commit_in_worktree
5256af68-89a2-4b0c-af61-fffc50527a56,aa5fdb9f1a4ad234b,hk-b3f.4,2026-05-09T00:03:06.384000+00:00,no_commit_in_worktree
5256af68-89a2-4b0c-af61-fffc50527a56,a6ca58f2a8db66e28,hk-872.29,2026-05-09T00:14:11.470000+00:00,no_commit_in_worktree
9f550894-8598-486e-8465-c40de1f68068,a48809cf9318d625a,hk-b3f.5,2026-05-08T23:17:03.976000+00:00,no_commit_in_worktree
9f550894-8598-486e-8465-c40de1f68068,aec6a662eb8863816,hk-b3f.1,2026-05-08T23:17:14.305000+00:00,no_commit_in_worktree
9f550894-8598-486e-8465-c40de1f68068,a578dc43b8e91f396,hk-b3f.19,2026-05-08T23:17:26.153000+00:00,no_commit_in_worktree
9f550894-8598-486e-8465-c40de1f68068,a8cba3eb5bb5dd95a,hk-b3f.57,2026-05-08T23:18:07.244000+00:00,no_commit_in_worktree
d6eae760-bf3a-4592-9a8d-1ad3a0c63c0a,ad4dd9719a6c4c936,hk-b3f.94,2026-05-08T20:41:14.437000+00:00,no_commit_in_worktree
f330826c-e557-4044-8114-781743e5f96a,a8476da90e5adadab,hk-b3f.73,2026-05-08T18:44:49.910000+00:00,no_commit_in_worktree
f330826c-e557-4044-8114-781743e5f96a,a90cae46efdc43423,hk-b3f.77,2026-05-08T18:45:04.971000+00:00,no_commit_in_worktree
f330826c-e557-4044-8114-781743e5f96a,a0fdd0fc987622d4f,hk-872.54,2026-05-08T18:48:49.018000+00:00,no_commit_in_worktree
f330826c-e557-4044-8114-781743e5f96a,a77d73bee2eba9a25,hk-hqwn.40,2026-05-08T18:59:03.054000+00:00,no_commit_in_worktree
f330826c-e557-4044-8114-781743e5f96a,a34c5424144c9c836,hk-8i31.51,2026-05-08T18:59:16.631000+00:00,no_commit_in_worktree
f330826c-e557-4044-8114-781743e5f96a,a45dbb0abb0c950df,hk-872.35,2026-05-08T19:02:50.103000+00:00,no_commit_in_worktree
f330826c-e557-4044-8114-781743e5f96a,acf31e61bed329795,hk-b3f.58,2026-05-08T19:05:01.721000+00:00,no_commit_in_worktree
8f4ea7df-b925-419f-b398-d4911e4293d2,a0b858ef2ab6bb5fc,hk-zs0.40,2026-05-08T16:26:26.409000+00:00,no_commit_in_worktree
109dd9a4-d74e-49ba-b6d3-a5e74e50b470,aaf0f38f02ed2b71c,hk-ahvq.48.2,2026-05-08T15:01:34.679000+00:00,no_commit_in_worktree
109dd9a4-d74e-49ba-b6d3-a5e74e50b470,afa79f00c664feec7,hk-hqwn.27,2026-05-08T15:10:09.740000+00:00,no_commit_in_worktree
109dd9a4-d74e-49ba-b6d3-a5e74e50b470,ab31ee27f14c1a8ab,hk-872.50,2026-05-08T15:23:44.130000+00:00,no_commit_in_worktree
109dd9a4-d74e-49ba-b6d3-a5e74e50b470,a0bde06f6aa9611b4,hk-hqwn.62,2026-05-08T15:27:07.250000+00:00,no_commit_in_worktree
42947699-a7a8-46bc-9f53-432491285667,aa4216336de10fa2e,hk-ahvq.48.1,2026-05-08T07:00:53.849000+00:00,no_commit_in_worktree
42947699-a7a8-46bc-9f53-432491285667,a2f0c05f3978474b8,hk-8mwo.10,2026-05-08T07:11:33.057000+00:00,no_commit_in_worktree
42947699-a7a8-46bc-9f53-432491285667,a940672d90c400a1a,hk-ahvq.48.4,2026-05-08T07:14:31.396000+00:00,no_commit_in_worktree
8bc51080-90f4-4111-80b9-fcb2bcb93ef5,aaa1efd157ea153b4,hk-jhob.2,2026-05-08T06:23:00.099000+00:00,no_commit_in_worktree
8bc51080-90f4-4111-80b9-fcb2bcb93ef5,a341d8c805cab11ff,hk-i0tw.17,2026-05-08T06:23:04.834000+00:00,no_commit_in_worktree
8bc51080-90f4-4111-80b9-fcb2bcb93ef5,a2723b5066891d3ba,hk-jhob.3,2026-05-08T06:25:51.296000+00:00,no_commit_in_worktree
8bc51080-90f4-4111-80b9-fcb2bcb93ef5,ad32885166ad86cb4,hk-jhob.4,2026-05-08T06:26:31.784000+00:00,no_commit_in_worktree
8bc51080-90f4-4111-80b9-fcb2bcb93ef5,a56be56f6745da2ab,hk-8mup.12,2026-05-08T06:34:12.265000+00:00,no_commit_in_worktree
1c111d02-4192-402a-ad8a-4aad0be20742,a3f6b0a626edcda55,hk-8mup.5,2026-05-08T05:36:32.712000+00:00,no_commit_in_worktree
0073969c-3ae8-45db-8c69-0cadcce9fc13,a3c1d8ef29649899d,hk-i0tw.46,2026-05-08T04:31:43.363000+00:00,no_commit_in_worktree
0073969c-3ae8-45db-8c69-0cadcce9fc13,a06bf0efe7ca864fa,hk-i0tw.51,2026-05-08T04:33:14.121000+00:00,no_commit_in_worktree
e96e6732-c052-4200-a942-88f49071b6a5,ae80f928156f2a6fb,hk-8mup.52,2026-05-08T03:51:51.424000+00:00,no_commit_in_worktree
7e362669-4eb9-4d24-9ff5-00004b6bb87a,a6f89859e3b5a3e2c,hk-872.1,2026-05-08T00:05:55.487000+00:00,no_commit_in_worktree
7e362669-4eb9-4d24-9ff5-00004b6bb87a,a69196c6a557fb28c,hk-872.9,2026-05-08T00:06:27.174000+00:00,no_commit_in_worktree
7e362669-4eb9-4d24-9ff5-00004b6bb87a,a9f284fa921f16b81,hk-8mwo.65,2026-05-08T00:17:14.151000+00:00,no_commit_in_worktree
