bead_id,session_id,agent_id,reviewer_agent_id,commit_sha,orchestrator_dispatch_ts,first_subagent_tool_ts,commit_ts,commit_author_ts,reviewer_last_assistant_ts,spin_up_seconds,task_work_seconds,merge_seconds,reviewer_seconds,total_seconds,notes
hk-gql20.21,12688a9a-00b5-4bd6-b7a2-8fa84c0d6da2,ab84b7c0ab479dd14,,f8eb590,2026-05-13T06:12:42.355000+00:00,2026-05-13T06:12:45.170000+00:00,2026-05-13T06:20:44.041000+00:00,,,2.8,478.9,,,481.7,sha_not_in_repo
hk-gql20.9,12688a9a-00b5-4bd6-b7a2-8fa84c0d6da2,a9201e0e91ab949e1,,8576710,2026-05-13T06:20:09.334000+00:00,2026-05-13T06:20:11.674000+00:00,2026-05-13T06:31:49.945000+00:00,,,2.3,698.3,,,700.6,sha_not_in_repo
hk-gql20.10,12688a9a-00b5-4bd6-b7a2-8fa84c0d6da2,aa2d3f50264527eaf,,dd993d2,2026-05-13T06:20:18.876000+00:00,2026-05-13T06:20:21.747000+00:00,2026-05-13T06:24:20.928000+00:00,,,2.9,239.2,,,242.1,sha_not_in_repo
hk-gql20.11,12688a9a-00b5-4bd6-b7a2-8fa84c0d6da2,ae97d05df4ee78078,,ce621b4,2026-05-13T06:20:29.935000+00:00,2026-05-13T06:20:32.793000+00:00,2026-05-13T06:30:46.186000+00:00,,,2.9,613.4,,,616.3,sha_not_in_repo
hk-gql20.22,12688a9a-00b5-4bd6-b7a2-8fa84c0d6da2,a390348c5f10d5d7e,,7f0d8e2,2026-05-13T06:33:05.124000+00:00,2026-05-13T06:33:07.821000+00:00,2026-05-13T06:41:20.628000+00:00,,,2.7,492.8,,,495.5,sha_not_in_repo
hk-gql20.14,12688a9a-00b5-4bd6-b7a2-8fa84c0d6da2,a32a5aee954e883ce,,680f007,2026-05-13T06:43:48.841000+00:00,2026-05-13T06:43:51.628000+00:00,2026-05-13T08:33:10.976000+00:00,,,2.8,6559.3,,,6562.1,sha_not_in_repo
hk-gql20.15,12688a9a-00b5-4bd6-b7a2-8fa84c0d6da2,aa421142dcd2ae0f2,,65f7a46,2026-05-13T06:44:02.972000+00:00,2026-05-13T06:44:05.877000+00:00,2026-05-13T06:57:49.953000+00:00,,,2.9,824.1,,,827.0,sha_not_in_repo
hk-1n0cw.2,7df84270-b32e-463e-8bb4-fad1a52aaded,acc692018dddbc6bd,,d30201e,2026-05-13T00:00:30.481000+00:00,2026-05-13T00:00:33.434000+00:00,2026-05-13T00:12:01.976000+00:00,,,3.0,688.5,,,691.5,sha_not_in_repo
hk-keb6o,7df84270-b32e-463e-8bb4-fad1a52aaded,a416600abc67811a6,,0534c0b7e6dec4b07f3ce9d2224f300e964a6de4,2026-05-13T00:13:11.872000+00:00,2026-05-13T00:13:14.720000+00:00,2026-05-13T00:22:26.584000+00:00,2026-05-12T17:22:26-07:00,,2.8,551.9,-0.6,,554.1,
hk-w5vra.1,7df84270-b32e-463e-8bb4-fad1a52aaded,a7ff36176cfa47cf4,,e9c4a4a,2026-05-13T00:36:56.758000+00:00,2026-05-13T00:36:59.599000+00:00,2026-05-13T00:46:46.623000+00:00,,,2.8,587.0,,,589.9,sha_not_in_repo
hk-w5vra.3,7df84270-b32e-463e-8bb4-fad1a52aaded,a1408084b1fc22490,,c7a2f46,2026-05-13T00:38:04.460000+00:00,2026-05-13T00:38:07.354000+00:00,2026-05-13T00:46:31.307000+00:00,,,2.9,504.0,,,506.8,sha_not_in_repo
hk-w5vra.4,7df84270-b32e-463e-8bb4-fad1a52aaded,a845f8203459d216d,,204d1e7,2026-05-13T00:38:19.208000+00:00,2026-05-13T00:38:21.967000+00:00,2026-05-13T00:42:56.937000+00:00,,,2.8,275.0,,,277.7,sha_not_in_repo
hk-w5vra.6,7df84270-b32e-463e-8bb4-fad1a52aaded,a0df422bd85590e74,,594cb43,2026-05-13T00:38:32.559000+00:00,2026-05-13T00:38:35.279000+00:00,2026-05-13T00:54:42.783000+00:00,,,2.7,967.5,,,970.2,sha_not_in_repo
hk-w5vra.2,7df84270-b32e-463e-8bb4-fad1a52aaded,a25d969d060f04776,,9b6f397,2026-05-13T00:48:08.681000+00:00,2026-05-13T00:48:12.842000+00:00,2026-05-13T00:57:22.932000+00:00,,,4.2,550.1,,,554.3,sha_not_in_repo
hk-w5vra.8,7df84270-b32e-463e-8bb4-fad1a52aaded,a7c8869ed3fed2415,,ed6529f,2026-05-13T00:56:19.403000+00:00,2026-05-13T00:56:23.527000+00:00,2026-05-13T00:58:35.950000+00:00,,,4.1,132.4,,,136.5,sha_not_in_repo
hk-w5vra.2,7df84270-b32e-463e-8bb4-fad1a52aaded,ae5c4e9e5ee9d1f9a,,c118400,2026-05-13T01:00:12.452000+00:00,2026-05-13T01:00:17.037000+00:00,2026-05-13T01:07:27.219000+00:00,,,4.6,430.2,,,434.8,sha_not_in_repo
hk-w5vra.10,7df84270-b32e-463e-8bb4-fad1a52aaded,a85198bc2cdec8cf5,,0f6570a,2026-05-13T01:00:35.692000+00:00,2026-05-13T01:00:40.149000+00:00,2026-05-13T01:03:00.160000+00:00,,,4.5,140.0,,,144.5,sha_not_in_repo
hk-w5vra.9,7df84270-b32e-463e-8bb4-fad1a52aaded,af77556187151a9fa,,58b3acc,2026-05-13T01:06:13.721000+00:00,2026-05-13T01:06:18.573000+00:00,2026-05-13T01:08:21.436000+00:00,,,4.9,122.9,,,127.7,sha_not_in_repo
hk-w5vra.5,7df84270-b32e-463e-8bb4-fad1a52aaded,a3f0928f45c908e6f,,ea4464f3386a2f780f4ed397d6466c65f376a426,2026-05-13T01:12:05.276000+00:00,2026-05-13T01:12:09.613000+00:00,2026-05-13T01:19:55.820000+00:00,2026-05-12T18:19:56-07:00,,4.3,466.2,0.2,,470.7,
hk-p4xbw,77ec4d8e-c1ea-4415-9a60-91e74233c8ee,a9d8460392727ac5d,,a9d8460392727ac5d,2026-05-12T22:56:41.324000+00:00,2026-05-12T22:56:45.354000+00:00,2026-05-12T23:02:48.015000+00:00,,,4.0,362.7,,,366.7,sha_not_in_repo
hk-cdb9f,01514f42-535e-4cee-baad-c67771754390,adca86a266d30944a,,a803dd40398042d0772d34912ff0d8d55c1745bc,2026-05-12T21:20:33.598000+00:00,2026-05-12T21:20:36.019000+00:00,2026-05-12T21:22:01.872000+00:00,2026-05-12T14:22:02-07:00,,2.4,85.9,0.1,,88.4,
hk-7s9z9,01514f42-535e-4cee-baad-c67771754390,ae574ad7255930d71,,e7f5c1912ad7a7bc0d777295f521cc5807369890,2026-05-12T21:20:37.775000+00:00,2026-05-12T21:20:40.069000+00:00,2026-05-12T21:23:50.878000+00:00,2026-05-12T14:23:50-07:00,,2.3,190.8,-0.9,,192.2,
hk-5zode,01514f42-535e-4cee-baad-c67771754390,ac28eeddeeb3f5a03,,930aa5e04984ea569c46cbc87785ed5cf4d10eb7,2026-05-12T21:20:39.673000+00:00,2026-05-12T21:20:41.832000+00:00,2026-05-12T21:25:49.075000+00:00,2026-05-12T14:25:49-07:00,,2.2,307.2,-0.1,,309.3,
hk-5wbzj,01514f42-535e-4cee-baad-c67771754390,a754a6a77f1f45a9e,,ffa3a0f20bbf3f0a35b19b244c1d2e2190291756,2026-05-12T21:59:55.513000+00:00,2026-05-12T21:59:58.081000+00:00,2026-05-12T22:06:23.924000+00:00,2026-05-12T15:06:24-07:00,,2.6,385.8,0.1,,388.5,
hk-33tcf,01514f42-535e-4cee-baad-c67771754390,aa2ae0f2ef85383d7,,2f3329d4787544b71ec8a2d2c18a266de202d845,2026-05-12T22:06:58.913000+00:00,2026-05-12T22:07:01.185000+00:00,2026-05-12T22:08:59.493000+00:00,2026-05-12T15:08:59-07:00,,2.3,118.3,-0.5,,120.1,
hk-zs0.14,a1b6aa78-34bf-43da-925c-cb175d07fecb,a3654c1c2b40dd5d4,,e0b52407063e4f66b1a859945a559ac21b24d3ab,2026-05-11T22:29:03.963000+00:00,2026-05-11T22:29:06.939000+00:00,2026-05-11T22:32:07.265000+00:00,2026-05-11T15:32:07-07:00,,3.0,180.3,-0.3,,183.0,
hk-hqwn.59.22,a1b6aa78-34bf-43da-925c-cb175d07fecb,aeb56230f2e270b80,,b621a634f8d834ade5ddccb3c502f44ad505a556,2026-05-11T22:29:08.832000+00:00,2026-05-11T22:29:11.154000+00:00,2026-05-11T22:32:55.149000+00:00,2026-05-11T15:32:55-07:00,,2.3,224.0,-0.1,,226.2,
hk-8i31.37,a1b6aa78-34bf-43da-925c-cb175d07fecb,a22e09a4fbd101f45,,ae1927549a825547fd757194f9bbd236297735d9,2026-05-12T16:14:11.784000+00:00,2026-05-12T16:14:14.779000+00:00,2026-05-12T16:15:53.900000+00:00,2026-05-12T09:15:54-07:00,,3.0,99.1,0.1,,102.2,
hk-hqwn.19,a1b6aa78-34bf-43da-925c-cb175d07fecb,a9b88edbf170e1c65,,924747c8a8a85702fceb9707715a09f1c8cec08d,2026-05-12T16:17:51.661000+00:00,2026-05-12T16:17:55.041000+00:00,2026-05-12T16:20:30.380000+00:00,2026-05-12T09:20:30-07:00,,3.4,155.3,-0.4,,158.3,
hk-zs0.17,672b6e9a-6012-4a18-9e03-318ffcb862fb,a2548758bdcc1b588,,218955a8575a6b8cfa85aa24b76b3d6a03322aab,2026-05-11T05:54:19.185000+00:00,2026-05-11T05:54:22.295000+00:00,2026-05-11T05:56:24.115000+00:00,2026-05-10T22:56:24-07:00,,3.1,121.8,-0.1,,124.8,
hk-i0tw.15,672b6e9a-6012-4a18-9e03-318ffcb862fb,a0dbd1643e5c53624,,fd09379907256ec0b2480faac7f395c3e830349e,2026-05-11T05:55:22.702000+00:00,2026-05-11T05:55:25.281000+00:00,2026-05-11T05:57:30.693000+00:00,2026-05-10T22:57:30-07:00,,2.6,125.4,-0.7,,127.3,
hk-zs0.26,672b6e9a-6012-4a18-9e03-318ffcb862fb,ae30e6d6df34d482c,,20a5cfd5d8100ed724a5afa3b366e4c5ca26ac27,2026-05-11T05:56:33.628000+00:00,2026-05-11T05:56:36.572000+00:00,2026-05-11T05:58:47.869000+00:00,2026-05-10T22:58:47-07:00,,2.9,131.3,-0.9,,133.4,
hk-sx9r.20,672b6e9a-6012-4a18-9e03-318ffcb862fb,ad7a358738ab8b38b,,f1f3c457a5885a178723ff0b99a80ed584bb4827,2026-05-11T05:57:03.364000+00:00,2026-05-11T05:57:06.898000+00:00,2026-05-11T06:00:36.455000+00:00,2026-05-10T23:00:36-07:00,,3.5,209.6,-0.5,,212.6,
hk-1hoxo,672b6e9a-6012-4a18-9e03-318ffcb862fb,a3a2e1d90c182396d,,10e821dea0cb6e76a327055ba4d6fefe1fdfa56e,2026-05-11T05:57:10.121000+00:00,2026-05-11T05:57:12.661000+00:00,2026-05-11T05:59:52.058000+00:00,2026-05-10T22:59:52-07:00,,2.5,159.4,-0.1,,161.9,
hk-i0tw.28,672b6e9a-6012-4a18-9e03-318ffcb862fb,a9d62b9ae6aaab2ce,,342d6f53d9b172861dd3586c74f0ac48161d3a32,2026-05-11T05:58:35.833000+00:00,2026-05-11T05:58:38.920000+00:00,2026-05-11T06:00:33.319000+00:00,2026-05-10T23:00:33-07:00,,3.1,114.4,-0.3,,117.2,
hk-i0tw.33,672b6e9a-6012-4a18-9e03-318ffcb862fb,ad43af14bf38e4a33,,73f500221aed7cbaeea688537542b373d1a48485,2026-05-11T05:59:38.758000+00:00,2026-05-11T05:59:41.998000+00:00,2026-05-11T06:01:04.684000+00:00,2026-05-10T23:01:04-07:00,,3.2,82.7,-0.7,,85.2,
hk-zs0.28,672b6e9a-6012-4a18-9e03-318ffcb862fb,af97a8824db6d86f0,,ed5c34b2121bd38a0931d5d0a98ea4bb5a5b593e,2026-05-11T06:00:31.022000+00:00,2026-05-11T06:00:34.710000+00:00,2026-05-11T06:05:44.449000+00:00,2026-05-10T23:05:44-07:00,,3.7,309.7,-0.4,,313.0,
hk-i0tw.35,672b6e9a-6012-4a18-9e03-318ffcb862fb,a20418da8cfb7ed85,,4893b96ec27663b61676a6943642095e2b801933,2026-05-11T06:03:02.820000+00:00,2026-05-11T06:03:05.080000+00:00,2026-05-11T06:04:55.605000+00:00,2026-05-10T23:04:55-07:00,,2.3,110.5,-0.6,,112.2,
hk-hqwn.71,14c78c5f-11eb-43eb-9956-963abdecc7db,aabe0ff3c7331e828,,02eb7b0,2026-05-10T16:22:48.048000+00:00,2026-05-10T16:22:50.298000+00:00,2026-05-10T16:31:29.385000+00:00,,,2.2,519.1,,,521.3,sha_not_in_repo
hk-hqwn.73,14c78c5f-11eb-43eb-9956-963abdecc7db,ac75abc83fde8ed4a,,f84b0ba5aadf1dfe7a18428a19b80d736c169eb2,2026-05-10T16:22:57.555000+00:00,2026-05-10T16:22:59.621000+00:00,2026-05-10T16:27:01.073000+00:00,2026-05-10T09:27:01-07:00,,2.1,241.5,-0.1,,243.4,
hk-hqwn.29,14c78c5f-11eb-43eb-9956-963abdecc7db,a77fd93dee1037e1d,,aa0e7c45c60a238405cd159b67958226745caca8,2026-05-10T16:30:15.021000+00:00,2026-05-10T16:30:16.774000+00:00,2026-05-10T16:31:42.410000+00:00,2026-05-10T09:31:42-07:00,,1.8,85.6,-0.4,,87.0,
hk-8mwo.4,14c78c5f-11eb-43eb-9956-963abdecc7db,a47943b117366e65d,,39f50bf,2026-05-10T16:32:08.888000+00:00,2026-05-10T16:32:11.369000+00:00,2026-05-10T16:51:58.559000+00:00,,,2.5,1187.2,,,1189.7,sha_not_in_repo
hk-8i31.52,14c78c5f-11eb-43eb-9956-963abdecc7db,a668fd0f9d1422446,,7edcd58,2026-05-10T16:33:42.380000+00:00,2026-05-10T16:33:45.155000+00:00,2026-05-10T17:55:53.664000+00:00,,,2.8,4928.5,,,4931.3,sha_not_in_repo
hk-sx9r.58,14c78c5f-11eb-43eb-9956-963abdecc7db,a530f5f2d0dab2548,,1f2970b,2026-05-10T16:35:08.299000+00:00,2026-05-10T16:35:10.502000+00:00,2026-05-10T17:46:05.692000+00:00,,,2.2,4255.2,,,4257.4,sha_not_in_repo
hk-8mup.11,14c78c5f-11eb-43eb-9956-963abdecc7db,a3ba1965c5c1e89c8,,00bf570,2026-05-10T16:54:22.001000+00:00,2026-05-10T16:54:24.263000+00:00,2026-05-10T18:20:58.200000+00:00,,,2.3,5193.9,,,5196.2,sha_not_in_repo
hk-63oh.15,14c78c5f-11eb-43eb-9956-963abdecc7db,ae4ddaba7ccdb327a,,4ef8f96,2026-05-10T17:09:03.245000+00:00,2026-05-10T17:09:04.996000+00:00,2026-05-10T17:14:06.154000+00:00,,,1.8,301.2,,,302.9,sha_not_in_repo
hk-ml3rw,14c78c5f-11eb-43eb-9956-963abdecc7db,a33d1abe4f2fe996f,,d166fea199180ead689b89a32f86e3c7769f0b3f,2026-05-10T17:15:32.604000+00:00,2026-05-10T17:15:34.452000+00:00,2026-05-10T17:19:30.085000+00:00,2026-05-10T10:19:30-07:00,,1.8,235.6,-0.1,,237.4,
hk-i0tw.12,14c78c5f-11eb-43eb-9956-963abdecc7db,abed757dc5ed7d3f1,,c742fa0,2026-05-10T17:20:43.243000+00:00,2026-05-10T17:20:45.437000+00:00,2026-05-10T17:26:18.746000+00:00,,,2.2,333.3,,,335.5,sha_not_in_repo
