scenario_name,works_count,total_beads,kerf_work_completed,kerf_agent_idle_pct,kerf_area_collisions
cp,1,85,1,0.0194,264
hc,1,80,1,0.0230,249
on,1,84,1,0.0209,261
pl,1,59,1,0.0289,183
rc,1,79,1,0.0386,246
sh,1,53,1,0.0471,165
wm,1,71,1,0.0441,219
all_pilots,8,553,6,0.7127,329
